70	36	52	28	97	24	70	42	90	39	68	49	93	56	77	92	55	24	34	42
51	86	92	62	82	81	39	71	31	73	75	59	99	88	94	86	92	76	89	44
83	46	88	51	58	30	61	66	29	22	56	23	44	33	79	71	24	42	70	28
50	74	67	49	80	95	20	73	32	23	44	80	69	23	22	48	25	32	87	49
55	80	82	25	33	68	47	36	53	27	68	32	89	74	62	95	61	55	67	51
93	21	62	29	36	32	71	45	92	85	96	84	38	29	25	58	71	37	25	99
65	96	63	57	72	32	41	51	64	37	27	20	74	95	57	47	76	31	89	70
85	65	47	39	48	86	70	33	31	49	46	52	77	62	91	59	73	50	98	74
92	91	73	69	87	34	37	60	63	94	51	20	94	47	71	50	30	53	38	80
41	81	83	73	87	61	62	46	99	59	71	22	91	71	87	40	82	29	45	57
100	27	64	98	45	41	79	36	31	35	29	70	28	78	71	39	55	23	76	68
49	70	63	27	69	83	57	85	77	74	80	60	56	75	69	100	22	58	45	22
74	52	95	68	59	51	23	63	95	79	57	24	78	92	95	84	42	29	67	83
36	61	63	76	60	76	27	93	46	71	66	91	29	100	20	50	44	77	39	84
64	60	65	43	29	26	61	89	58	64	45	81	29	81	38	45	85	42	87	89
37	61	67	81	77	23	59	62	74	34	36	32	75	28	63	29	98	46	84	54
89	65	68	96	26	55	40	60	31	59	73	69	99	34	23	96	56	45	61	64
75	34	94	68	96	57	45	42	53	76	93	85	37	58	64	31	58	32	46	74
43	70	46	25	73	24	74	75	26	70	34	55	83	34	27	55	67	23	97	89
92	93	55	43	44	56	43	82	97	84	42	23	77	98	58	22	64	56	37	44
31	82	82	48	46	79	79	20	39	27	53	50	94	55	58	37	92	36	96	97
94	29	79	93	53	56	100	93	91	67	73	69	75	100	23	53	67	80	69	85
58	68	54	24	26	49	23	77	69	99	99	69	77	87	52	79	70	100	87	44
81	20	87	45	93	84	47	51	100	57	68	53	44	45	47	26	50	73	34	35
58	39	64	34	76	90	73	46	50	94	36	93	49	25	26	70	22	55	70	37
