67	56	70	63	76	21	86	41	67	38	41	98	82	46	30	69	37	64	75	79	27	60	94	43	97	88	59	92	94	58	84	34	33	69	99	85	95	76	58	56	25	60	65	37	72	72	38	77	31	37
70	87	50	81	73	38	38	28	50	77	91	85	49	25	27	67	69	89	49	20	45	49	23	85	64	31	87	52	58	22	53	54	27	79	72	80	86	36	46	74	42	59	99	95	45	85	59	35	28	26
58	27	90	47	26	20	89	23	75	58	78	63	82	96	34	58	67	72	23	85	44	93	43	67	73	31	31	33	65	61	27	21	28	22	53	22	45	35	21	48	88	66	24	99	93	61	28	89	59	39
60	58	53	29	28	37	40	51	38	61	84	41	58	87	63	60	99	95	69	27	82	100	52	45	37	39	42	22	84	69	86	37	79	67	95	52	62	49	28	100	97	96	94	82	66	94	31	24	79	91
39	84	68	50	37	46	41	73	67	21	28	39	37	96	84	55	35	23	41	52	36	62	87	26	68	60	43	27	49	66	30	63	95	51	49	100	37	77	39	58	39	40	58	84	29	77	22	49	69	48
98	35	92	97	29	67	39	69	97	93	67	87	78	77	74	68	24	68	32	20	80	68	73	96	49	94	37	84	92	65	61	63	90	71	79	83	27	80	72	57	57	33	47	25	60	55	60	56	62	53
76	27	90	78	79	59	20	78	86	63	40	46	82	61	83	76	29	50	63	35	73	53	64	49	88	53	63	49	96	48	60	98	78	84	86	33	24	39	89	60	55	59	52	39	90	83	58	56	73	52
52	65	67	59	85	47	53	74	71	97	32	35	37	65	90	69	90	66	48	91	88	36	66	64	34	24	61	96	47	66	34	85	84	44	50	99	69	36	73	40	40	58	41	98	41	62	80	21	35	29
23	76	39	53	74	92	34	91	36	72	93	53	79	82	89	94	39	70	31	96	71	21	91	76	87	92	50	94	54	84	89	73	96	71	81	46	87	33	58	45	25	74	35	56	46	40	88	60	83	82
26	82	55	75	27	26	31	64	36	90	73	40	47	81	91	95	88	71	40	71	99	28	80	92	74	84	72	44	84	99	79	33	63	78	94	81	61	45	61	63	67	21	42	84	95	96	37	42	66	49
40	45	88	76	37	24	98	68	62	43	62	58	95	80	49	85	59	57	46	90	54	81	80	100	35	55	76	83	68	65	52	69	52	57	74	23	71	52	93	89	50	49	42	69	76	94	94	45	83	73
57	25	27	70	39	46	31	47	71	100	58	34	80	49	55	62	72	59	40	91	61	64	25	86	80	78	75	73	88	49	35	65	32	87	25	62	25	77	23	37	36	40	81	80	51	85	55	23	64	69
99	84	89	78	100	74	65	79	38	71	65	95	54	77	26	52	45	94	67	80	25	78	26	88	32	79	37	40	87	23	46	48	44	96	33	52	68	26	63	59	69	51	90	97	58	87	39	92	40	52
54	65	84	47	56	64	80	65	89	55	39	65	96	47	51	78	89	38	84	24	93	20	84	99	40	87	64	97	53	21	97	93	34	34	99	20	38	62	80	86	98	92	64	21	36	44	94	45	33	35
