31	79	98	70	31	64	66	23	50	88	46	30	20	23	28	58	62	77	54	55	81	37	66	71	45	99	24	43	59	88	48	42	76	99	40	72	32	64	58	95	69	88	57	96	77	82	93	63	59	26
78	30	67	35	37	26	72	40	73	44	60	67	91	97	60	50	52	64	92	55	96	36	51	97	72	60	26	60	98	48	63	90	33	45	38	66	43	62	95	95	57	28	93	70	62	77	29	72	49	82
82	68	49	52	30	39	90	93	58	39	78	24	34	69	90	40	63	87	97	26	85	39	88	38	55	30	31	62	98	61	25	32	63	94	65	67	21	49	98	72	83	94	41	61	73	89	78	79	65	99
82	36	38	42	88	26	31	70	55	37	79	77	25	62	94	86	25	28	25	28	76	83	41	48	92	25	27	72	61	56	23	28	46	76	33	68	63	78	26	59	94	55	89	89	68	77	32	97	73	49
56	58	94	93	49	90	74	99	22	24	58	100	79	91	25	75	95	85	38	35	82	60	45	29	93	83	61	26	24	92	33	67	78	95	21	50	30	94	86	75	59	34	69	84	35	68	61	61	88	58
57	51	48	66	21	99	88	24	62	71	39	40	21	40	83	82	64	32	49	99	50	92	33	23	98	27	93	40	92	76	38	20	36	41	32	87	58	72	30	52	37	20	81	84	62	47	28	45	47	93
21	50	50	22	100	74	99	39	77	59	91	72	92	32	31	39	23	72	74	58	92	64	66	34	22	45	72	63	85	68	24	77	24	90	78	70	22	72	36	81	47	71	36	58	98	20	98	99	50	47
51	55	36	44	66	52	53	69	95	45	78	74	41	62	20	76	50	96	95	72	96	53	77	64	93	94	100	86	33	39	98	42	63	27	81	37	86	66	71	100	56	90	69	31	45	22	74	24	91	20
65	47	54	65	69	35	84	53	91	27	24	48	21	30	90	28	22	65	91	39	65	21	95	57	94	50	76	39	74	81	59	99	20	59	44	33	83	41	46	82	53	84	68	81	33	79	62	73	86	76
45	61	30	72	37	30	30	85	40	59	36	45	33	78	59	87	31	52	90	99	39	23	90	67	80	51	43	22	96	77	23	37	69	70	52	20	23	47	58	76	78	55	65	99	43	70	88	81	32	59
64	34	44	98	22	46	81	57	99	80	98	92	58	99	72	80	87	55	35	93	85	39	84	42	36	100	70	23	89	56	69	74	78	85	73	27	98	34	66	34	81	74	34	87	51	82	39	49	62	50
43	75	78	86	78	25	31	75	72	92	74	61	65	44	88	39	50	95	83	95	79	79	86	54	82	57	46	80	81	96	58	20	43	93	30	87	44	28	29	35	26	90	89	92	54	65	69	85	31	57
25	53	72	42	81	22	44	45	20	52	37	77	98	61	35	69	100	58	83	50	50	21	34	49	59	26	52	96	58	70	77	27	37	26	74	50	21	99	61	21	44	93	55	85	52	26	98	76	39	35
