93	45	43	34	87	75	61	89	36	33	57	33	39	31	90	40	76	90	37	98	95	44	73	79	82	62	61	100	100	57	100	71	44	99	83	93	20	72	72	64	50	83	85	82	93	72	49	78	41	23
94	51	86	22	84	69	46	81	27	53	44	54	58	94	46	77	66	99	48	33	25	26	60	74	56	93	75	72	58	57	60	99	25	78	72	24	67	85	57	88	96	72	42	53	53	83	36	38	25	34
48	83	96	72	43	46	83	55	75	86	57	24	90	49	97	23	83	81	87	95	20	59	43	92	78	88	86	88	97	42	76	66	67	67	20	60	32	28	59	72	80	53	24	66	39	56	34	57	66	100
50	36	79	50	85	57	24	46	94	68	82	33	27	68	100	52	60	35	71	44	26	88	70	43	33	38	83	92	24	71	95	87	61	93	37	48	79	94	60	94	79	74	53	94	66	36	98	57	25	46
59	81	86	45	68	98	35	55	27	29	47	71	78	61	70	20	41	36	42	72	25	78	77	31	51	67	62	27	20	100	35	38	98	23	50	84	73	60	74	48	88	90	22	36	25	49	52	27	27	60
65	88	68	71	51	99	27	97	77	46	64	52	35	35	82	20	21	80	71	66	75	50	39	70	30	88	47	92	55	95	54	55	94	68	54	38	59	40	36	30	67	79	71	93	41	40	61	39	79	87
70	85	59	79	89	76	29	78	89	23	78	98	82	72	57	78	64	30	41	22	58	26	26	77	46	87	77	49	97	29	59	25	49	60	30	58	56	91	33	67	71	52	50	38	22	51	69	97	63	31
75	77	35	86	62	43	86	50	79	62	89	92	43	71	52	73	39	43	51	86	37	54	45	37	100	42	25	51	80	86	41	91	25	22	20	39	41	41	75	59	99	74	44	22	90	70	30	46	99	46
50	62	79	21	51	42	26	57	32	26	67	79	34	55	79	47	40	48	62	98	67	52	42	43	83	69	54	24	80	26	24	74	33	89	22	85	52	93	20	68	26	73	45	76	51	57	84	97	88	24
67	31	77	27	74	61	43	44	66	41	34	78	82	40	62	77	47	68	70	95	40	54	24	33	52	88	57	39	94	70	23	44	71	61	47	91	21	90	57	85	35	48	64	63	36	32	74	41	46	49
24	78	81	41	46	41	45	79	47	21	58	71	74	88	85	74	98	71	95	71	80	73	51	28	70	50	85	76	38	35	68	70	76	38	58	85	21	59	56	21	44	70	49	81	31	72	78	89	68	78
24	99	90	35	48	69	87	90	70	40	44	41	22	68	25	81	47	32	99	45	29	26	24	94	33	100	26	44	38	79	81	47	80	40	100	53	25	25	75	88	51	27	84	46	23	34	65	29	32	80
72	40	100	63	53	63	73	87	23	51	74	98	52	85	62	67	61	77	92	41	100	73	70	70	51	22	76	72	67	23	98	95	35	82	53	48	68	87	98	25	98	62	38	78	40	37	100	39	20	54
87	25	36	91	81	90	47	60	61	79	78	89	85	34	68	52	22	24	45	99	55	53	69	45	40	71	37	37	93	58	68	77	23	32	31	93	60	23	87	64	89	74	28	73	58	98	99	33	72	32
