24	21	22	39	55	37	46	93	62	45	27	64	28	30	66	83	49	28	92	46
24	89	62	46	93	74	74	54	32	30	69	52	98	80	61	55	33	53	89	56
44	40	76	80	26	95	57	70	83	68	65	36	50	31	72	97	58	72	42	93
65	74	87	76	69	75	29	32	75	62	87	88	39	25	74	64	69	96	85	67
61	24	93	74	72	54	71	83	37	97	98	79	81	36	65	85	56	38	39	98
32	55	55	54	63	21	64	80	85	40	50	26	72	92	97	24	23	49	59	52
59	70	78	35	95	70	38	63	39	66	25	26	44	95	56	29	24	94	71	57
21	79	72	38	84	93	56	48	93	95	92	89	95	21	85	36	76	73	32	56
89	31	73	84	51	22	61	36	76	40	77	47	46	58	28	70	86	99	25	98
58	25	96	56	73	23	45	60	35	58	93	46	52	22	93	60	58	35	68	22
52	50	100	97	95	85	91	92	71	24	22	41	72	67	79	42	57	43	24	30
88	87	67	23	65	80	70	30	95	72	100	28	61	74	29	33	66	53	33	42
77	68	94	24	88	97	77	36	88	81	80	23	78	74	20	74	94	98	31	67
83	32	65	44	90	46	99	23	80	68	63	93	36	30	34	96	53	47	23	64
74	75	23	30	73	57	61	53	41	85	31	27	83	85	71	23	99	76	29	57
32	86	64	21	99	61	64	36	41	64	100	21	71	33	61	80	87	83	43	68
62	74	89	54	28	68	86	56	31	20	54	44	65	78	74	24	41	44	85	59
60	20	59	95	48	27	34	44	88	62	73	49	30	62	58	79	82	98	92	89
72	91	90	27	89	55	58	85	79	87	87	94	84	61	81	33	67	94	92	56
40	58	91	73	78	92	94	84	63	23	87	30	73	92	67	72	84	32	37	40
90	31	68	70	32	26	69	64	42	57	45	20	80	90	95	29	37	26	69	40
28	41	90	63	56	52	42	81	28	20	55	67	81	33	23	46	83	58	52	24
73	73	88	100	53	37	80	31	63	29	58	87	38	27	63	71	82	80	97	80
100	41	79	31	83	35	40	65	41	39	80	32	44	91	79	41	96	90	35	100
55	99	53	83	31	44	23	84	47	54	74	21	48	48	51	42	37	77	53	77
