40	20	24	97	26	55	87	47	72	63	63	78	43	81	60	32	53	25	85	66
49	91	91	79	97	84	20	69	74	61	93	62	40	99	61	49	87	84	81	68
82	44	62	71	36	62	88	90	25	85	98	35	92	83	44	95	38	74	75	82
89	91	87	20	21	53	47	61	82	45	87	68	79	68	70	22	34	97	98	38
32	83	36	97	64	39	43	35	43	22	79	39	34	42	28	95	25	70	78	67
30	89	67	25	43	66	39	83	33	68	86	59	47	22	78	98	68	88	90	75
83	36	84	70	74	46	23	87	76	62	51	60	43	75	27	70	98	23	67	99
45	89	79	74	83	34	36	68	93	87	87	38	51	23	99	71	41	73	70	35
91	46	76	36	41	50	32	85	37	60	95	29	49	91	66	87	43	24	79	71
94	61	54	63	41	72	24	36	54	78	97	70	35	66	49	73	65	49	51	45
39	100	61	73	54	46	41	91	83	44	79	40	20	32	63	61	34	33	22	97
95	79	86	87	49	52	25	73	68	72	39	73	20	57	67	68	21	99	43	79
20	81	42	60	37	20	94	96	100	32	68	75	67	55	59	97	90	62	48	81
55	31	61	87	34	73	34	51	84	98	45	74	75	27	44	39	45	100	30	46
35	80	38	34	43	82	84	70	57	39	47	67	71	84	27	86	60	56	47	38
70	95	78	54	98	68	94	63	67	96	21	88	100	61	24	93	91	22	36	44
54	22	98	91	85	70	30	71	36	70	59	81	33	61	44	51	42	83	99	30
34	47	50	53	45	34	21	64	75	58	70	31	50	54	96	98	49	79	40	52
84	50	66	24	98	83	23	73	34	51	20	91	54	50	22	83	94	91	46	94
73	35	23	94	50	70	78	62	65	41	44	33	70	93	34	100	35	40	67	54
83	53	35	88	30	69	37	54	59	94	57	78	71	20	64	37	72	36	54	39
41	76	57	85	68	55	70	28	55	34	79	36	28	45	59	69	84	89	68	85
91	39	64	75	68	56	76	59	32	22	64	93	79	92	88	55	75	43	77	57
48	43	40	87	29	69	71	62	64	94	30	45	67	49	23	71	48	96	95	40
60	33	27	82	70	76	46	22	89	80	87	67	28	59	45	69	93	22	89	100
