94	83	28	68	60	97	61	67	42	62	62	26	64	46	42	90	44	25	73	82	58	84	86	76	59	53	84	67	63	26	49	74	87	51	31	23	24	96	36	94
87	79	37	44	80	36	87	68	94	20	20	98	99	76	68	78	100	56	32	72	22	70	100	91	60	91	57	26	71	48	22	26	62	97	54	54	78	34	84	76
49	34	33	88	95	66	25	62	22	89	25	95	41	62	79	28	22	41	62	87	53	23	46	57	69	53	38	56	92	26	83	30	67	92	91	69	37	41	64	63
99	98	70	41	96	36	71	21	20	75	62	32	48	87	69	78	66	81	46	26	31	24	65	93	72	21	97	70	26	77	63	23	27	83	36	96	62	34	100	86
50	98	28	100	30	79	60	67	87	72	78	99	52	80	91	72	56	36	72	54	27	78	31	38	91	28	71	62	46	91	38	45	74	82	100	44	42	47	34	98
75	40	82	38	36	88	84	95	27	90	26	72	33	46	89	40	93	30	50	71	82	91	72	68	21	93	52	94	100	58	40	52	41	31	42	97	77	22	47	78
78	80	78	68	65	48	55	55	23	47	36	95	60	36	59	35	50	73	90	64	27	64	75	37	45	74	63	96	72	40	91	58	62	38	41	55	59	63	75	23
34	55	40	25	76	40	98	97	71	65	43	49	85	90	66	35	83	43	56	76	85	22	90	35	49	36	25	82	89	84	68	49	35	52	76	24	79	24	61	21
90	48	75	44	60	23	55	31	38	44	75	52	52	24	73	75	87	21	54	99	99	66	71	21	70	51	81	49	96	55	89	39	75	90	20	97	41	55	63	58
33	40	29	55	84	74	52	29	72	81	80	100	46	42	76	76	41	36	34	72	98	46	21	44	67	97	77	41	89	58	45	27	36	89	98	22	91	88	45	60
86	21	24	92	51	25	44	24	70	68	29	52	90	89	58	87	78	75	27	62	52	22	67	74	76	93	41	54	20	23	100	54	83	57	85	93	92	37	31	64
38	53	74	90	70	53	63	97	68	37	24	48	32	27	70	48	44	44	63	77	57	50	36	74	64	38	48	29	48	30	54	68	76	42	55	62	91	54	66	56
71	32	55	70	91	48	52	27	82	58	69	64	61	56	27	52	74	47	41	77	84	93	74	28	42	75	98	41	72	43	38	45	43	78	53	71	58	23	47	70
51	76	30	65	85	84	66	60	71	64	55	77	69	100	50	95	55	55	67	95	73	52	83	82	95	86	74	43	88	63	38	34	81	73	69	52	97	56	93	67
38	40	81	33	95	70	46	49	44	58	83	36	20	45	71	73	82	62	21	84	59	37	67	23	24	42	24	99	25	62	83	44	77	39	26	48	55	89	20	53
36	99	97	29	21	60	80	66	71	44	91	86	90	58	94	87	59	68	28	41	29	96	27	68	37	40	96	43	52	45	29	98	81	90	80	99	82	84	92	37
82	100	56	75	31	74	46	21	69	77	79	49	80	64	86	64	81	66	83	87	47	100	80	43	74	94	94	36	24	88	84	47	62	75	73	85	58	81	58	27
80	55	27	55	95	36	41	56	86	46	88	92	91	59	50	23	91	86	92	37	52	37	24	48	35	34	40	58	66	29	33	72	80	68	23	100	84	33	80	57
33	93	25	45	21	80	74	96	61	46	81	70	65	90	49	37	22	96	90	27	57	89	46	25	85	49	39	58	28	37	80	61	36	84	83	91	43	29	25	91
91	72	28	88	48	97	24	75	32	80	25	68	38	76	68	54	49	23	91	71	48	38	99	100	69	86	95	86	64	60	35	88	73	61	77	47	62	99	60	93
60	23	62	90	92	94	24	29	38	21	28	78	39	43	21	43	88	32	90	82	87	85	50	88	50	71	52	46	83	68	51	40	90	90	89	89	53	72	38	26
52	28	82	55	35	41	71	71	100	74	31	57	70	97	43	26	63	96	95	60	39	80	58	63	85	60	21	56	45	76	79	41	95	96	79	93	80	63	95	87
71	20	74	88	72	97	88	23	28	81	59	96	30	40	35	86	39	65	38	62	63	82	100	100	36	55	57	97	28	75	86	28	34	79	42	34	46	73	75	44
89	67	30	46	91	51	37	94	67	29	66	55	99	25	33	77	48	79	94	39	84	98	73	85	79	83	85	63	88	45	98	66	21	30	97	76	70	82	20	77
60	88	84	73	82	86	64	52	71	68	20	44	100	78	35	96	93	20	42	30	99	56	41	49	44	52	83	51	34	55	50	27	33	73	64	96	38	46	35	71
93	58	47	77	61	39	92	84	84	31	39	70	64	51	22	63	49	65	82	66	45	64	92	25	43	51	26	35	59	79	44	37	54	37	31	32	26	55	25	68
99	24	24	55	98	86	63	38	24	67	24	80	70	76	28	23	27	67	99	68	59	66	47	82	90	99	61	53	86	69	26	67	23	41	25	26	84	88	75	53
97	63	88	58	82	98	94	82	48	29	24	87	26	20	99	26	50	98	27	100	99	53	47	56	93	38	93	30	97	80	68	62	67	34	82	70	32	82	46	91
100	87	66	59	93	36	33	77	64	42	22	99	62	22	63	71	56	70	34	65	97	97	50	82	55	28	46	43	44	40	41	45	94	28	98	83	96	22	72	75
76	61	100	87	90	58	28	72	31	77	50	70	69	45	44	55	27	95	61	83	40	54	69	31	70	50	22	64	76	68	68	98	87	91	76	24	45	56	46	58
38	28	45	75	71	85	44	43	83	81	56	41	21	68	38	95	86	73	57	21	30	44	49	35	95	76	23	39	82	71	32	25	59	76	73	55	36	55	67	49
