67	45	74	70	81	90	30	30	66	45	59	51	21	47	31	83	33	63	75	42	43	42	71	46	98
62	62	60	37	62	75	66	83	41	69	56	98	86	58	69	94	45	71	77	83	28	34	24	66	24
92	67	85	66	92	94	39	28	74	96	21	82	29	30	91	60	56	47	67	29	23	68	85	32	28
58	71	57	59	72	36	37	70	61	67	47	63	74	49	90	82	97	21	45	50	58	48	93	42	97
39	49	62	55	39	33	67	87	60	87	41	58	81	41	95	99	95	42	39	78	34	46	74	23	69
39	58	77	68	36	71	93	82	62	33	80	96	90	48	58	68	58	97	63	78	73	38	94	49	24
63	72	67	56	85	79	33	58	42	49	58	68	24	68	35	94	57	21	27	60	43	95	55	43	25
78	48	36	76	58	55	39	82	29	73	60	91	73	44	76	78	89	94	35	93	78	60	95	57	21
52	63	94	75	28	96	97	61	90	48	87	30	47	83	40	20	37	55	70	37	32	38	46	58	22
86	61	35	42	23	97	42	95	34	42	35	68	61	38	35	27	92	70	99	81	31	25	82	58	42
48	77	34	61	57	79	53	31	43	56	36	52	35	63	78	21	29	21	36	31	59	94	71	58	22
77	60	76	50	56	37	61	100	46	60	83	50	43	26	89	49	79	56	98	63	56	74	20	60	34
69	68	93	53	100	91	84	47	64	61	84	49	44	64	39	93	42	86	84	34	46	59	55	34	79
96	51	78	80	66	95	84	31	64	36	70	59	31	43	71	28	51	60	97	45	33	58	49	55	71
67	54	40	20	84	77	85	97	33	89	58	64	29	94	25	50	87	26	95	65	90	25	29	36	51
75	96	22	74	70	63	61	47	80	56	74	36	54	26	99	77	89	78	38	88	96	73	75	94	28
54	36	99	48	27	36	73	77	33	47	49	68	97	54	79	38	24	77	29	20	21	82	74	28	20
92	81	56	85	47	88	21	99	47	54	36	68	70	74	40	77	54	42	57	28	51	98	73	29	56
31	81	61	35	82	87	78	57	20	54	78	84	65	27	66	95	62	62	72	95	66	54	87	50	75
91	99	34	81	29	35	66	32	51	61	23	68	62	53	26	66	64	30	21	56	23	32	53	71	74
20	20	79	45	88	28	62	76	56	23	85	99	59	41	26	90	40	94	91	55	81	27	36	65	35
36	28	34	88	20	70	35	37	57	27	51	77	81	64	42	97	51	78	59	84	47	76	75	58	27
57	56	90	87	81	20	58	23	56	96	48	87	83	55	62	39	90	40	56	86	26	89	82	57	88
31	81	57	98	26	36	29	20	57	26	77	58	85	22	71	71	30	32	90	84	50	43	52	42	44
55	85	28	94	80	89	58	20	38	23	84	44	46	28	29	57	82	42	47	55	46	73	100	78	84
63	54	68	41	50	37	51	82	97	97	76	96	97	26	21	87	46	86	22	31	83	22	61	36	46
34	27	39	58	98	39	21	29	99	74	40	65	26	26	40	86	45	74	62	69	59	66	88	93	97
60	57	42	75	84	100	21	71	88	27	59	36	44	45	53	76	83	78	36	65	27	81	54	31	41
55	40	29	90	57	70	76	23	53	43	74	57	29	30	94	40	43	45	22	58	45	51	66	89	90
56	20	60	67	80	57	66	70	64	82	97	74	55	46	43	75	23	97	57	41	61	80	91	91	40
47	82	38	49	59	61	64	67	38	100	32	55	49	32	22	75	44	68	98	41	97	62	83	77	93
36	40	88	90	69	96	77	37	20	37	28	59	42	81	100	55	56	44	67	44	77	45	49	34	40
51	43	94	59	32	32	50	27	30	73	43	87	72	95	90	100	77	69	69	58	52	43	21	52	27
30	96	44	36	89	87	85	99	55	87	59	76	98	95	80	76	87	31	48	42	25	60	91	86	28
92	21	93	63	63	100	23	29	77	26	51	26	51	95	27	100	78	44	49	76	66	34	37	59	54
43	58	98	86	30	89	77	89	46	74	66	40	94	21	78	34	75	83	93	37	83	70	26	59	29
91	20	36	98	71	36	65	85	46	58	27	64	58	58	32	76	39	71	20	97	47	22	94	65	74
86	67	69	54	21	39	24	94	93	99	20	60	75	36	54	58	35	81	59	36	57	74	47	90	29
75	69	63	68	69	63	37	78	83	51	23	37	29	96	68	44	45	53	22	78	86	45	91	70	63
70	42	89	27	68	40	55	94	24	57	60	63	87	20	29	51	59	33	92	100	32	45	20	94	83
